ARO Accession	ARO Name	CARD Short Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	Matched_CARD_Tokens	Matched_Better_Classes	UniProt	UniParc	PDB	PDB_Links
ARO:3002537	AAC(3)-IIIb	AAC(3)-IIIb	KSC15183.1	LLLC01000048.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A0V2HDR7	UPI00071BE618		
ARO:3002538	AAC(3)-IIIc	AAC(3)-IIIc	AAA25683.1	L06161.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q51406			
ARO:3002539	AAC(3)-IVa	AAC(3)-IVa	ABB43029.1	DQ241380.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q306W4		6MN3;6MN4;6MN5	https://www.rcsb.org/structure/6MN3;https://www.rcsb.org/structure/6MN4;https://www.rcsb.org/structure/6MN5
ARO:3005061	AAC(3)-IVb	AAC(3)-IVb	QEQ43476.1	MN366378.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A5C2PMK1			
ARO:3002543	AAC(3)-IXa	AAC(3)-IXa	AAA25334.1	M55427.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P29810			
ARO:3002540	AAC(3)-VIa	AAC(3)-VIa	AAA16194.1	M88012.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q47030		6BBR;6BBZ;6BC2;6BC3;6BC4;6BC5;6BC6;6BC7;6NP1;6NP2;6NP3;6NP4;6NP5;6O5U	https://www.rcsb.org/structure/6BBR;https://www.rcsb.org/structure/6BBZ;https://www.rcsb.org/structure/6BC2;https://www.rcsb.org/structure/6BC3;https://www.rcsb.org/structure/6BC4;https://www.rcsb.org/structure/6BC5;https://www.rcsb.org/structure/6BC6;https://www.rcsb.org/structure/6BC7;https://www.rcsb.org/structure/6NP1;https://www.rcsb.org/structure/6NP2;https://www.rcsb.org/structure/6NP3;https://www.rcsb.org/structure/6NP4;https://www.rcsb.org/structure/6NP5;https://www.rcsb.org/structure/6O5U
ARO:3002541	AAC(3)-VIIa	AAC(3)-VIIa	AAA88552.1	M22999.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P30180			
ARO:3002542	AAC(3)-VIIIa	AAC(3)-VIIIa	AAA26685.1	M55426.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P29809			
ARO:3002544	AAC(3)-Xa	AAC(3)-Xa	BAA78619.1	AB028210.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q54216		7LAP	https://www.rcsb.org/structure/7LAP
ARO:3002583	AAC(6')-29a	AAC(6')-29a	WP_064190968.1	NG_048575.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI0007D889A9		
ARO:3002584	AAC(6')-29b	AAC(6')-29b	WP_064190969.1	NG_048576.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI0007D88E3E		
ARO:3002599	AAC(6')-30/AAC(6')-Ib' bifunctional protein	AAC6_30_AAC6_Ib	CAE48335.2	AJ584652.2	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q70E84			
ARO:3002585	AAC(6')-31	AAC(6')-31	CAK55557.1	AM283489.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q0VTT5			
ARO:3002586	AAC(6')-32	AAC(6')-32	ABR10839.1	EF614235.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A6N6U3			
ARO:3003989	AAC(6')-34	AAC(6')-34	APB03223.1	KX531053.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A1I9ZKY4	UPI0009083813		
ARO:3002588	AAC(6')-I30	AAC(6')-I30	AAP43642.1	AY289608.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q7WTV9			
ARO:3002587	AAC(6')-I33	AAC(6')-I33	AEZ05106.1	JN596280.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	H6U586			
ARO:3004641	AAC(6')-I-43	AAC(6')-I-43	AEA07977.1	HQ247816.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	F2WU95			
ARO:3004638	AAC(6')-I-48	AAC(6')-I-48	BAN78519.1	AB472901.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	S6CFI8			
ARO:3002545	AAC(6')-Ia	AAC(6')-Ia	AAA98298.1	M18967.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P10051			
ARO:3002571	AAC(6')-Iaa	AAC(6')-Iaa	AAL20537.1	AE006468.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q8ZPB6			
ARO:3002572	AAC(6')-Iad	AAC(6')-Iad	BAD12078.1	AB119105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q75ZP9			
ARO:3002573	AAC(6')-Iae	AAC(6')-Iae	BAD14386.1	AB104852.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q76FR4			
ARO:3002574	AAC(6')-Iaf	AAC(6')-Iaf	BAH66386.1	AB462903.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	C4TGI5			
ARO:3002575	AAC(6')-Iai	AAC(6')-Iai	ACI28880.1	EU886977.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	B6D9B6			
ARO:3003677	AAC(6')-Iaj	AAC(6')-Iaj	BAM46120.1	AB709942.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	K0IV17			
ARO:3003199	AAC(6')-Iak	AAC(6')-Iak	BAO21229.1	AB894482.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	V5XKM9			
ARO:3003200	AAC(6')-Ian	AAC(6')-Ian	BAQ22025.1	AP014611.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A0B6VRK1			
ARO:3007204	AAC(6')-Iap	AAC(6')-Iap	BCD41405.1	LC536747.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A6F8Z5F1			
ARO:3002546	AAC(6')-Ib	AAC(6')-Ib	AFJ11384.1	JQ808129.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	G8GB95			
ARO:3003676	AAC(6')-Ib'	AAC(6')-Ib'	AAT74613.1	AY660529.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q70E83			
ARO:3002581	AAC(6')-Ib10	AAC(6')-Ib10	AAC46343.1	U59183.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q51399			
ARO:3002582	AAC(6')-Ib11	AAC(6')-Ib11	AAN41403.1	AY136758.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q8GLI5		2PR8;2PRB;2QIR	https://www.rcsb.org/structure/2PR8;https://www.rcsb.org/structure/2PRB;https://www.rcsb.org/structure/2QIR
ARO:3002576	AAC(6')-Ib3	AAC(6')-Ib3	ACS44715.1	FJ854362.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q79TB7			
ARO:3002577	AAC(6')-Ib4	AAC(6')-Ib4	AAL38577.1	AF445082.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q53289			
ARO:3002578	AAC(6')-Ib7	AAC(6')-Ib7	AKN19287.1	KR091911.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A0H3YDB2			
ARO:3002579	AAC(6')-Ib8	AAC(6')-Ib8	AIK02012.1	KF998105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A076UB44			
ARO:3002580	AAC(6')-Ib9	AAC(6')-Ib9	AAD02244.1	AF043381.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9R977			
ARO:3002547	AAC(6')-Ib-cr1	AAC(6')-Ib-cr1	WP_071846215.1	NG_052213.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI0008FFCCF3		
ARO:3007770	aac(6')-Ib-cr10	aac(6')-Ib-cr10	WP_124042715.1	NG_067968.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI000F5392AD		
ARO:3007771	aac(6')-Ib-cr11	aac(6')-Ib-cr11	WP_159241551.1	NG_067969.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI001330903A		
ARO:3005112	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	WP_071766621.1	NG_052123.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI0008FE56F7		
ARO:3005114	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4	WP_065187000.1	NG_052463.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A5I6FEY9;A0A780AY53	UPI0007F8A166		
ARO:3005115	AAC(6')-Ib-cr5	AAC(6')-Ib-cr5	ABX24471.1	EU161636.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	B0F5D7			
ARO:3005116	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6	WP_063840320.1	NG_047292.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI0007C7DDF2		
ARO:3005117	AAC(6')-Ib-cr7	AAC(6')-Ib-cr7	NON98701.1	JABGAB010000032.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A8F8ZLC8;A0A8F9EWG6;A0AAQ0JAX0	UPI0008FDBD12		
ARO:3005118	AAC(6')-Ib-cr8	AAC(6')-Ib-cr8	AZK52946.1	CP034250.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides		UPI000F711A58		
ARO:3005119	AAC(6')-Ib-cr9	AAC(6')-Ib-cr9	AYD68572.1	MH569711.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A386JBE1			
ARO:3002592	AAC(6')-Ib-Hangzhou	AAC6_IB_HZ	ACL37342.1	FJ503047.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	B8Y9I3			
ARO:3002593	AAC(6')-Ib-SK	AAC(6')-Ib-SK	BAD11815.1	AB164230.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q75PS3			
ARO:3002591	AAC(6')-Ib-Suzhou	AAC_6_IB_Su	ABU55430.1	EU085533.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A7UMS1			
ARO:3002549	AAC(6')-Ic	AAC(6')-Ic	AAA26549.1	M94066.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q54441			
ARO:3002597	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	AAC6_Ie_APH2_Ia	AAA88548.1	GU565967.1	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P0A0C1		4ORK;5BYL;5IQA;5IQB;5IQC;5IQD;5IQE;5IQF;5IQG;5IQH;5IQI;6C5U;6CAV;6CEY;6CGD;6CGG;6CH4	https://www.rcsb.org/structure/4ORK;https://www.rcsb.org/structure/5BYL;https://www.rcsb.org/structure/5IQA;https://www.rcsb.org/structure/5IQB;https://www.rcsb.org/structure/5IQC;https://www.rcsb.org/structure/5IQD;https://www.rcsb.org/structure/5IQE;https://www.rcsb.org/structure/5IQF;https://www.rcsb.org/structure/5IQG;https://www.rcsb.org/structure/5IQH;https://www.rcsb.org/structure/5IQI;https://www.rcsb.org/structure/6C5U;https://www.rcsb.org/structure/6CAV;https://www.rcsb.org/structure/6CEY;https://www.rcsb.org/structure/6CGD;https://www.rcsb.org/structure/6CGG;https://www.rcsb.org/structure/6CH4
ARO:3002553	AAC(6')-If	AAC(6')-If	CAA39038.1	X55353.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q03635			
ARO:3002554	AAC(6')-Ig	AAC(6')-Ig	AAA21889.1	L09246.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q44057		4EVY;4F0Y	https://www.rcsb.org/structure/4EVY;https://www.rcsb.org/structure/4F0Y
ARO:3002555	AAC(6')-Ih	AAC(6')-Ih	AAC41391.1	L29044.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q43899		4E8O	https://www.rcsb.org/structure/4E8O
ARO:3002556	AAC(6')-Ii	AAC(6')-Ii	AAB63533.1	L12710.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q47764		1B87;1N71;2A4N;5E96;7BXZ	https://www.rcsb.org/structure/1B87;https://www.rcsb.org/structure/1N71;https://www.rcsb.org/structure/2A4N;https://www.rcsb.org/structure/5E96;https://www.rcsb.org/structure/7BXZ
ARO:3002594	AAC(6')-IIa	AAC(6')-IIa	AAM92464.1	AY123251.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q79PC7			
ARO:3002595	AAC(6')-IIb	AAC(6')-IIb	AAA25680.1	L06163.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q51734			
ARO:3002596	AAC(6')-IIc	AAC(6')-IIc	AAD46626.1	AF162771.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9S445			
ARO:3002589	AAC(6')-Iid	AAC(6')-Iid	CAE50925.1	AJ584700.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q70E72			
ARO:3002590	AAC(6')-Iih	AAC(6')-Iih	CAE50926.1	AJ584701.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q70E71			
ARO:3002557	AAC(6')-Ij	AAC(6')-Ij	AAC41392.1	L29045.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q44245			
ARO:3002558	AAC(6')-Ik	AAC(6')-Ik	AAA87229.1	L29510.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q44246	UPI00000B1CD3		
ARO:3004635	AAC(6')-Il	AAC(6')-Il	AAA90937.1	U13880.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P50858			
ARO:3004629	AAC(6')-Im	AAC(6')-Im	AAK63041.1	AF337947.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q93ET8		6BFF;6BFH	https://www.rcsb.org/structure/6BFF;https://www.rcsb.org/structure/6BFH
ARO:3002559	AAC(6')-Ip	AAC(6')-Ip	CAA91010.1	Z54241.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P94629			
ARO:3002560	AAC(6')-Iq	AAC(6')-Iq	AAC25500.1	AF047556.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O68484			
ARO:3002561	AAC(6')-Ir	AAC(6')-Ir	AAD03490.1	AF031326.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52241			
ARO:3002562	AAC(6')-Is	AAC(6')-Is	AAD03491.1	AF031327.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52242			
ARO:3002563	AAC(6')-Isa	AAC(6')-Isa	BAD10948.2	AB116646.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q764C8			
ARO:3002564	AAC(6')-It	AAC(6')-It	AAD03492.1	AF031328.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52243			
ARO:3002565	AAC(6')-Iu	AAC(6')-Iu	AAD03493.1	AF031329.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52244			
ARO:3002566	AAC(6')-Iv	AAC(6')-Iv	AAD03494.1	AF031330.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52245			
ARO:3002567	AAC(6')-Iw	AAC(6')-Iw	AAD03495.1	AF031331.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52246			
ARO:3002568	AAC(6')-Ix	AAC(6')-Ix	AAD03496.1	AF031332.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	O52247			
ARO:3002569	AAC(6')-Iy	AAC(6')-Iy	AAF03531.1	AF144880.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9R381		1S3Z;1S5K;1S60;2VBQ	https://www.rcsb.org/structure/1S3Z;https://www.rcsb.org/structure/1S5K;https://www.rcsb.org/structure/1S60;https://www.rcsb.org/structure/2VBQ
ARO:3002570	AAC(6')-Iz	AAC(6')-Iz	AAD52985.1	AF140221.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9RBW7			
ARO:3002628	aad(6)	aad(6)	AAU10334.1	AY712687.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q66RP0			
